miRNA	Spearman_r	p_value
hsa-miR-10401-3p	0.1773134774140731	3.1120320692169733e-07
hsa-miR-885-5p	0.16313718294811114	2.5807314280000858e-06
hsa-miR-642a-5p	0.1616372845768643	3.1954730820979125e-06
hsa-miR-378a-5p	0.16076668437801972	3.6141938462625658e-06
hsa-miR-486-5p	0.15290520270761024	1.0670483285564872e-05
hsa-miR-3129-3p	0.14859083852367136	1.890344379879323e-05
hsa-miR-629-3p	0.14718708482020323	2.2692339028183672e-05
hsa-miR-6813-3p	0.14447251197374308	3.215625226048115e-05
hsa-miR-618	0.14190038418036843	4.4487341815870106e-05
hsa-miR-4728-3p	0.14021895137539656	5.48397395080575e-05
hsa-miR-3675-3p	0.14004983158786188	5.599863785558886e-05
hsa-miR-532-3p	0.13490100526761759	0.00010465159593846738
hsa-miR-29c-5p	0.13269274671974754	0.00013592529172407058
hsa-miR-5001-3p	0.1321148300480991	0.00014545551150014726
hsa-miR-92b-5p	0.13126121595687001	0.0001606872780058189
hsa-miR-4655-3p	0.13085783174622442	0.00016839526186085456
hsa-miR-642a-3p	0.13027843695887084	0.0001800758281629036
hsa-miR-129-2-3p	0.1302575938887857	0.0001805098685407478
hsa-miR-3944-5p	0.1293177875175129	0.00020113270761870777
hsa-miR-6800-3p	0.12921223643905608	0.00020358212926319534
hsa-miR-193a-5p	0.1287840659993854	0.00021380800264577513
hsa-miR-642b-5p	0.12628520543808733	0.00028375462136446416
hsa-miR-365b-3p	0.12479126083520375	0.0003352531586206827
hsa-miR-365a-3p	0.12476859574169748	0.00033609778822403535
hsa-miR-2110	0.12370388730961392	0.0003780898576727465
hsa-miR-6804-5p	0.12250005154181413	0.0004314431766589592
hsa-miR-615-3p	0.12101357561448141	0.0005069994394930577
hsa-miR-6766-3p	0.11984586274914262	0.0005748009356230227
hsa-miR-2116-3p	0.11927442820077681	0.0006109675292830081
hsa-miR-584-3p	0.1185864808256467	0.0006573100005785754
hsa-miR-3177-3p	0.11799853879328626	0.0006994798455771521
hsa-miR-18a-3p	0.11799798783057472	0.0006995205142114416
hsa-miR-4732-3p	0.11694621081742682	0.0007812823377211195
hsa-miR-6842-3p	0.11666285393583664	0.0008047768550594574
hsa-miR-1180-3p	0.11411564528846249	0.00104734164732455
hsa-miR-4695-3p	0.11351335661922105	0.001113809622576481
hsa-miR-3122	0.11271919998863413	0.0012074069237361445
hsa-miR-6845-3p	0.11219385671358996	0.0012732521289605164
hsa-miR-6817-3p	0.1112941328330722	0.0013937560551120678
hsa-miR-1234-3p	0.10982413250230462	0.0016134219767471507
hsa-miR-504-5p	0.10857504585812482	0.0018246095578866865
hsa-miR-3675-5p	0.10816972177770251	0.0018984075143445454
hsa-miR-7109-3p	0.10770320635260532	0.0019867280817215615
hsa-miR-3187-3p	0.10767119649938361	0.0019929240717753
hsa-miR-7106-3p	0.1074088850262703	0.0020443692725653217
hsa-miR-212-5p	0.10725270811901834	0.0020755738369634996
hsa-miR-885-3p	0.10675954420015267	0.002176994094026881
hsa-miR-873-5p	0.10668904181615507	0.002191857906834218
hsa-miR-1291	0.10541233027319637	0.0024775976856019353
hsa-miR-339-5p	0.10349660604996357	0.0029705460453502875
hsa-miR-92b-3p	0.10342839470563628	0.0029896411243364447
hsa-miR-3127-5p	0.10331700896884236	0.003021062858413767
hsa-miR-4327	0.10106748578393386	0.0037235340817809545
hsa-miR-330-5p	0.10043235670897145	0.0039470983436311995
hsa-miR-491-5p	0.10041480369405763	0.003953446217297733
hsa-miR-1249-3p	0.09952052422455586	0.00428936100304381
hsa-miR-4786-5p	0.09817996100436589	0.004841440996146967
