miRNA	DC	Pearson_corr	Spearman_Corr	Cluster_TB	Cluster
hsa-let-7a-5p	0.10352899904809444	-0.008477125967739144	0.042375889156109875	3	1
hsa-let-7b-5p	0.09472516322865214	0.036070253430385835	0.049916762786706176	3	3
hsa-let-7c-3p	0.0531848865640947	-0.031109312378849105	0.020040760151714906	3	3
hsa-let-7d-5p	0.10114131381394928	-0.006875313752353891	0.017537187975678853	3	2
hsa-let-7e-3p	0.08852740401341906	-0.08111521905861462	0.03314483541430982	3	2
hsa-let-7e-5p	0.12338422661422799	-0.03354220149920091	0.03323979719833933	3	1
hsa-let-7f-1-3p	0.10517004666952416	-0.08303866174251337	-0.06120597800255369	3	1
hsa-let-7f-2-3p	0.19115831687573115	-0.1866326962695654	-0.06525081798922386	3	2
hsa-let-7f-5p	0.11450960897033655	-0.10194092495886653	-0.055006881141587714	3	1
hsa-let-7g-3p	0.16971522134575717	-0.17428087715122592	-0.058126408125202395	3	1
hsa-miR-1-5p	0.0613230671082882	0.02799940159610016	-0.005117986694697246	3	3
hsa-miR-100-3p	0.08422242855062709	-0.08604725841997578	-0.05417853225424497	3	2
hsa-miR-100-5p	0.0907330135689519	-0.06188731778834251	0.003747783069981107	3	3
hsa-miR-101-5p	0.17155906685728073	-0.18019189760805165	-0.02548853257467279	3	2
hsa-miR-103a-3p	0.09181302831331567	-0.03674286570655667	0.014369050459667836	3	2
hsa-miR-103b	0.057827603967672114	-0.05660935919104261	-0.049507631425349356	3	2
hsa-miR-105-5p	0.05365344020152748	-0.05328249250199806	-0.02136752426589152	3	3
hsa-miR-106a-3p	0.11804655994491157	-0.16519587197529037	-0.03240351447546506	3	3
hsa-miR-106b-5p	0.08943147576525186	0.03460452372408718	0.01517194291299362	3	3
hsa-miR-107	0.0870464409286799	0.029754793976340302	0.027486754992803068	3	1
hsa-miR-10a-3p	0.08565301606472704	-0.04733890177216573	-0.0251055779374136	3	3
hsa-miR-10b-3p	0.053459887276232125	0.018685463350328634	0.015142003759685264	3	3
hsa-miR-10b-5p	0.2225751151331195	-0.2074350104399462	-0.07665639780951264	3	4
hsa-miR-1178-5p	0.04528592227880784	0.03442881533269663	0.040185014717483425	3	4
hsa-miR-1179	0.1321753097699263	-0.041958131661458724	0.09953611969313961	3	3
hsa-miR-1180-3p	0.25774200421736726	-0.19457131675535935	0.004664335404152209	3	5
hsa-miR-1180-5p	0.07561887055057734	0.025271602024820122	0.05615157459080705	3	4
hsa-miR-1181	0.03108941353757509	-4.101288533336807e-05	0.022139059175575623	3	5
hsa-miR-1182	0.026846307652939314	0.005347296184942177	0.0019650244859052575	3	3
hsa-miR-1183	0.05686643288979026	0.047471486791119705	0.06022154260164028	3	5
hsa-miR-1185-1-3p	0.1461124281986538	-0.15446475042548613	-0.016736010574235766	3	3
hsa-miR-1185-2-3p	0.09025858294619815	-0.11402153624912659	-0.053074904462787086	3	3
hsa-miR-1185-5p	0.13871008075322241	-0.13240023558298328	-0.0774882765249877	3	3
hsa-miR-1193	0.03971943723408845	0.02869831824532384	0.0388527578587523	3	3
hsa-miR-1197	0.14504349893510476	-0.14553331715621542	-0.012028376234841475	3	3
hsa-miR-1202	0.03854250065675379	-0.022449394728786196	-0.02418987915035389	3	5
hsa-miR-1203	0.02971779547303276	0.014959268443102358	0.01830279949728897	3	3
hsa-miR-1204	0.0525797590159477	0.041007124631952704	0.054952739055151405	3	3
hsa-miR-1207-5p	0.03135697290042284	0.007604039031042101	-0.0150587190466685	3	5
hsa-miR-122-3p	0.04920230902833633	0.009790110880012953	0.038964232587401344	3	3
hsa-miR-122-5p	0.07838828944998619	-0.05072213117435034	-0.005748321133400394	3	3
hsa-miR-1224-5p	0.09718934271478054	0.005173512050247678	0.09707427772701534	3	5
hsa-miR-1225-5p	0.04462398836572352	-0.047192190616680466	-0.0014108226306338927	3	5
hsa-miR-1226-5p	0.09030235135474321	-0.08452970960280017	0.01870552360922965	3	3
hsa-miR-1227-3p	0.1045441556397663	0.09445048974968084	0.08383975584869273	3	1
hsa-miR-1227-5p	0.05542932171124713	0.05319186737342662	0.03539273539016429	3	5
hsa-miR-1228-5p	0.04462726596519348	-0.03452026839094245	0.016955335671705783	3	2
hsa-miR-1229-5p	0.04929244609033751	-0.006765096288588132	0.03578858956444345	3	5
hsa-miR-1233-5p	0.07266370057596853	-0.07386885753765299	-0.016434601407296096	3	5
hsa-miR-1236-3p	0.08428276172070572	0.001542201204387399	0.0168623484471203	3	2
hsa-miR-1236-5p	0.06393574160224744	0.040683293092462616	0.0495876033139552	3	4
hsa-miR-1237-3p	0.10629422051956183	0.06308136338298126	0.07558462607689129	3	1
hsa-miR-1237-5p	0.05919002611042706	-0.03732679530803931	-0.010415894983612527	3	5
hsa-miR-1238-3p	0.27899076758138924	-0.24588234721625735	-0.08237863332825818	3	1
hsa-miR-1238-5p	0.03067327284716086	0.016510976969083577	0.02127840800451693	3	2
hsa-miR-124-3p	0.05697675987576606	-0.024129690250182693	0.025780855459758407	3	2
hsa-miR-124-5p	0.030184018059970858	0.0057015867820857085	0.011302306914540516	3	3
hsa-miR-1244	0.08201564246919711	-0.07239191984043693	-0.0243753137473539	3	3
hsa-miR-1245a	0.030949479575457624	0.016934823279421005	0.021895987128658586	3	3
hsa-miR-1246	0.15818696988196906	-0.16108679348691696	0.04695289766396659	3	4
hsa-miR-1247-3p	0.058365146788544195	-0.0466888182036859	-0.04519556317582092	3	3
hsa-miR-1247-5p	0.06756405597984168	-0.03840320508255641	-0.03705136682707406	3	1
hsa-miR-1248	0.19358438379696885	-0.17928118258969009	-0.06394940802025023	3	5
hsa-miR-1249-5p	0.04718777138569825	0.0006125197830856932	0.024817044625245487	3	5
hsa-miR-1250-5p	0.09395759539181062	-0.041927374557580506	0.015177813543050683	3	3
hsa-miR-1251-3p	0.03059267443484605	0.01266850625403982	0.023764759411853856	3	3
hsa-miR-1251-5p	0.04140309126357596	0.02228135337757205	0.024188535923256375	3	3
hsa-miR-1252-3p	0.08317201858739882	-0.08651235392071702	-0.05614046859855524	3	3
hsa-miR-1252-5p	0.09134259347139168	-0.09472928446521683	-0.06028015888514575	3	3
hsa-miR-1253	0.04035720979634649	0.029600963549791155	0.03695952328186351	3	3
hsa-miR-1255b-2-3p	0.10376127351738755	-0.03787168381751135	0.052072322208966806	3	2
hsa-miR-1255b-5p	0.2033860714131165	-0.12342804800695902	-0.034370503628194195	3	5
hsa-miR-1256	0.09999499713726677	-0.07622862404512905	0.027494918547996922	3	3
hsa-miR-1258	0.03387014359872512	0.02524995603780803	0.02539127351960832	3	2
hsa-miR-125a-3p	0.1151671892564595	-0.08363020068219318	-0.01263452987840246	3	4
hsa-miR-125a-5p	0.08995285515255165	0.014622616316588387	-0.009806214002667006	3	3
hsa-miR-125b-1-3p	0.06945492761762533	0.01598402596796873	0.042388388348963336	3	4
hsa-miR-125b-2-3p	0.10963317844162832	-0.13627201457423188	0.01799464506675042	3	3
hsa-miR-125b-5p	0.14319119743432765	0.11302908788450604	0.0813244920319972	3	3
hsa-miR-126-5p	0.1157879372074388	-0.11989954080369548	-0.03329991392545406	3	1
hsa-miR-1260a	0.16974322626857943	0.08917209186274279	0.06301981902604764	3	3
hsa-miR-1260b	0.16898990683819184	0.0872138646234027	0.06060175476197666	3	3
hsa-miR-1261	0.08916247185575624	-0.08448318923519542	0.010251001562998354	3	2
hsa-miR-1262	0.08771299658840065	0.010338773543122098	0.08414788790278684	3	3
hsa-miR-1264	0.08290278179943052	-0.0845886966128355	-0.030869051622369664	3	2
hsa-miR-1265	0.028982670002363185	0.014337578316371872	0.02778697836612614	3	3
hsa-miR-1266-3p	0.02700636353862367	-0.002247946616472526	-0.011544685982299562	3	2
hsa-miR-1266-5p	0.04316500256601704	-0.03143294482661564	-0.023064499316526803	3	3
hsa-miR-1268a	0.11134430809044325	-0.11950352524637772	0.07292908105509333	3	4
hsa-miR-1268b	0.1463462901267846	-0.1644616730084565	0.02260728852914703	3	4
hsa-miR-1269a	0.050596837208589776	-0.050156181771014254	-0.008341074539917727	3	3
hsa-miR-1269b	0.02845701232361997	-0.004932772799682366	-0.013081448720455	3	3
hsa-miR-127-5p	0.13882138559662258	-0.14188380050516153	-0.059615037316499295	3	3
hsa-miR-1270	0.10564906550690215	0.07576053528798896	0.07487995367629276	3	3
hsa-miR-1271-3p	0.1555130416155603	-0.1564707487527658	-0.06327567013314706	3	4
hsa-miR-1271-5p	0.11412769213417646	-0.020002768202429144	0.08376602919093992	3	3
hsa-miR-1273c	0.1460384112006549	-0.12477720225679172	-0.00912928405626123	3	5
hsa-miR-1273h-3p	0.23778542092653793	-0.12366614160882322	-0.07328508574102571	3	4
hsa-miR-1273h-5p	0.11629032050135728	-0.12053526787273719	0.03572133462707152	3	5
hsa-miR-1275	0.1343378200507812	-0.13211571240859998	0.019316780036007005	3	2
hsa-miR-1276	0.06383136590026085	-0.0324378465840865	0.004408599493111518	3	3
hsa-miR-1277-3p	0.1676663492360075	-0.173632372689258	-0.06586945613354733	3	3
hsa-miR-1278	0.08788658012512361	-0.030382625618094947	-0.07052945106268098	3	3
hsa-miR-128-1-5p	0.10011947761992808	-0.09598999496365157	0.008719264499747102	3	5
hsa-miR-128-2-5p	0.04771651171659025	0.027740543175065524	0.02259673248972206	3	4
hsa-miR-128-3p	0.2627554360641904	-0.25530521934871037	-0.0814502947202031	3	5
hsa-miR-1281	0.06764423670160916	0.008105684361408154	0.05008625058539806	3	1
hsa-miR-1282	0.026846307652997503	0.00534729618494218	0.0019650244859052575	3	2
hsa-miR-1283	0.052703395808341894	-0.013090436829158482	0.03408669522815	3	3
hsa-miR-1284	0.09940893465726684	-0.02436739562165012	-0.03398948983200973	3	3
hsa-miR-1285-3p	0.13329319766316683	-0.05878484909112604	0.02762740632280734	3	3
hsa-miR-1286	0.057297813995227216	-0.057076702711734296	-0.025403381838189278	3	3
hsa-miR-1287-3p	0.09543973165398933	-0.12238478528297253	0.024930653410531474	3	3
hsa-miR-1287-5p	0.08684901258407991	-0.032380937820792606	0.02431481494814045	3	2
hsa-miR-1288-3p	0.23097334065125905	-0.2201878518637443	-0.0794381617414895	3	5
hsa-miR-1288-5p	0.04006222996055502	0.017382719683859373	0.015625769035943933	3	2
hsa-miR-1289	0.16359230205742797	-0.10905982085609554	-0.07414400189698803	3	3
hsa-miR-129-1-3p	0.19738132135416142	-0.2047060352419859	-0.08205000291559464	3	3
hsa-miR-129-5p	0.11323807779716846	-0.10413372463501334	-0.017481320432462154	3	3
hsa-miR-1290	0.16073177894011254	-0.16382654181076572	0.010275906121186193	3	3
hsa-miR-1291	0.14855164360928963	-0.09261716664568673	0.002988747103913175	3	5
hsa-miR-1292-5p	0.09375773006953217	0.08726833078377534	0.0683293888373558	3	4
hsa-miR-1293	0.08224542744057567	-0.07595351349190406	-0.06224274785231323	3	3
hsa-miR-1294	0.06837154336741073	-0.010772117653772301	0.009613667699536069	3	3
hsa-miR-1295a	0.08959179270221453	0.02615535107999167	0.05086712526127827	3	3
hsa-miR-1295b-3p	0.05140750487100176	0.04302576791169382	0.037288381222187444	3	3
hsa-miR-1296-3p	0.0877990394111868	-0.09723103215393017	-0.01959861885420131	3	1
hsa-miR-1296-5p	0.10716191902174915	-0.058125624323475546	0.07561641518805813	3	3
hsa-miR-1297	0.1468506058166146	-0.05785625534218153	-0.07035013438897393	3	2
hsa-miR-1298-3p	0.047666784207918665	0.02534948063992571	0.033087643297714846	3	3
hsa-miR-1298-5p	0.09817491634877844	-0.013523862491045502	-0.05069167666671481	3	3
hsa-miR-1299	0.11086099207325169	-0.06034192884981231	0.01296825795372745	3	3
hsa-miR-1301-5p	0.04533938058586672	-0.005523595229862823	0.007004226071561221	3	4
hsa-miR-1302	0.08335633526467369	0.025177516943310132	0.0905471750434356	3	3
hsa-miR-1303	0.11259969110485485	0.07827038281274651	0.09011235502454397	3	3
hsa-miR-1304-3p	0.10830514613438465	0.0267891799755079	0.06418204715142996	3	1
hsa-miR-1304-5p	0.1656211727585053	-0.10779184617466969	-0.06486003600648803	3	4
hsa-miR-1305	0.038015469679500126	0.026553979373349513	0.033629990487349985	3	3
hsa-miR-1306-3p	0.10891549137012725	0.04385734362687755	0.07029153336031226	3	3
hsa-miR-1307-3p	0.15609257539752172	-0.1356610340536086	-0.07993150747504432	3	3
hsa-miR-130a-3p	0.08897540493798493	-0.08613214190691255	-0.029050564266227947	3	3
hsa-miR-130a-5p	0.1103485623115384	0.08964651472113824	0.0936982247660311	3	2
hsa-miR-130b-3p	0.1507778947777939	0.11048217106869622	0.08824622766955663	3	5
hsa-miR-130b-5p	0.08935958057659038	-0.005414482641342538	-0.0027201868979755545	3	2
hsa-miR-132-3p	0.15354759091383305	0.12585833756871243	0.0631750116462334	3	5
hsa-miR-132-5p	0.24970600521517794	-0.15234932866853448	-0.09472060801281976	3	2
hsa-miR-1321	0.04287046767612841	0.009400187580101213	0.03454318234715659	3	3
hsa-miR-1322	0.054398077440271544	-0.05409690540667355	-0.03127627398944601	3	3
hsa-miR-1323	0.06335014368239117	-0.011221018383818485	0.029034718101773976	3	3
hsa-miR-133a-3p	0.07364634323479163	-0.04871975224301332	0.015258135163344363	3	3
hsa-miR-133a-5p	0.14083893265765485	-0.1484046320009729	-0.013435166797455404	3	4
hsa-miR-133b	0.11703517112979438	-0.13226889702204953	-0.054235989272238196	3	3
hsa-miR-134-3p	0.05332764665183322	-0.033532708450567744	-0.025151245618473487	3	3
hsa-miR-134-5p	0.1266056632297351	-0.1008039920959945	-0.09492620153623567	3	5
hsa-miR-1343-3p	0.0887265759162737	-0.032619055929082326	0.03926064247720253	3	3
hsa-miR-1343-5p	0.06866788024518156	0.03401027068345188	-0.013918201039189868	3	3
hsa-miR-135a-3p	0.059760758027535124	-0.03998750005569994	0.010092397778471826	3	4
hsa-miR-135a-5p	0.134638443348704	-0.16910397084795828	-0.06026100414818749	3	2
hsa-miR-135b-3p	0.13971522471936706	-0.1456273788954859	-0.08096961935101896	3	4
hsa-miR-135b-5p	0.16910633563367042	-0.1696058819774278	-0.05182011583599982	3	3
hsa-miR-136-3p	0.1455864510615086	-0.14880205644014413	-0.009300187135948984	3	3
hsa-miR-136-5p	0.14901670596821365	-0.14388423780338552	-0.05367886833844783	3	1
hsa-miR-138-1-3p	0.037023352613558345	-0.024292579045717497	-0.009276820136072249	3	4
hsa-miR-138-2-3p	0.050570609170960665	0.015385513651159834	0.02171170380663304	3	2
hsa-miR-138-5p	0.1592722445385187	-0.15944112123182352	0.032593290264284605	3	3
hsa-miR-139-3p	0.2165540102975142	-0.15351296263392905	-0.08697781438368057	3	3
hsa-miR-140-3p	0.07291806651433001	-0.08151602938847134	-0.04809107275269663	3	4
hsa-miR-141-3p	0.16694218477178374	-0.1718344419996056	0.008518690848799616	3	3
hsa-miR-141-5p	0.14888474407357458	-0.16378611327763787	-0.05534577608576084	3	2
hsa-miR-142-3p	0.1684007650963689	-0.17321129086162854	-0.08524139118816469	3	1
hsa-miR-143-5p	0.12930378795383313	-0.1389653362703198	-0.033741335646950185	3	3
hsa-miR-144-5p	0.04486237258967007	-0.009420263940219753	-0.016501759297978074	3	1
hsa-miR-145-3p	0.14371022317949456	-0.12120440750493527	-0.07598315621424398	3	3
hsa-miR-1468-3p	0.12027188679476941	-0.12120073939047744	-0.08577530447131029	3	5
hsa-miR-1468-5p	0.20171833628309788	-0.18471159992107272	-0.03668336770650699	3	2
hsa-miR-1469	0.06731984624792567	0.05204682535176296	0.05164240233769347	3	4
hsa-miR-146a-3p	0.16699152372374648	-0.16462524699680395	-0.0505764968210168	3	3
hsa-miR-147a	0.1270340822478728	-0.12371723784404642	-0.09590772688637121	3	3
hsa-miR-148a-5p	0.1950515609932074	-0.1883456600961459	-0.03004477026678911	3	4
hsa-miR-149-3p	0.045125952266271044	0.022078226258632597	0.019589050237798212	3	3
hsa-miR-149-5p	0.09024885243203405	0.0830750853705705	0.06055105093939818	3	1
hsa-miR-150-3p	0.17076057214439083	-0.1733149422591476	-0.07914097683161256	3	4
hsa-miR-150-5p	0.12315285478356401	-0.038636919239658216	0.04892715907283756	3	3
hsa-miR-151a-5p	0.1797196494201063	0.1590524909775994	0.0944993550562824	3	5
hsa-miR-152-5p	0.11846276227737727	-0.08691833862778892	-0.0796336545567719	3	2
hsa-miR-153-3p	0.16486354991763272	-0.1692277024000222	-0.022811534076235634	3	3
hsa-miR-153-5p	0.16096549934373094	-0.16255711645966858	-0.0627688752100192	3	2
hsa-miR-1537-3p	0.16639422149287567	-0.17086706274199667	0.037490159487466757	3	1
hsa-miR-1537-5p	0.1657653307577085	-0.17048885924591536	-0.05804697130999079	3	2
hsa-miR-1539	0.059067791686881574	-0.06434981523501754	0.019501542526348996	3	1
hsa-miR-154-3p	0.1286701151997655	-0.15967632864597497	-0.03863923129592906	3	2
hsa-miR-154-5p	0.07595874939843915	-0.06268788029703301	0.019796214172191403	3	3
hsa-miR-155-3p	0.16136920155169038	-0.16301246733748706	0.00812100002483368	3	3
hsa-miR-155-5p	0.11782561159725524	-0.10554104136488747	-0.04395777263648571	3	3
hsa-miR-1587	0.06972268397542015	-0.07819024431864029	0.02782442736688923	3	3
hsa-miR-15a-3p	0.16587194144705156	-0.16879762109956234	0.033127515542218336	3	2
hsa-miR-15a-5p	0.08332367381264398	-0.05904109251556801	-0.025823534134572914	3	1
hsa-miR-15b-3p	0.1036623476185135	0.07139735473890818	0.059890172268731966	3	3
hsa-miR-15b-5p	0.1110160055398412	-0.005368706776131382	0.037393110008767404	3	1
hsa-miR-16-1-3p	0.16632704252880462	-0.17121767130007162	-0.012341732812177594	3	3
hsa-miR-16-2-3p	0.08940137621052847	0.041432262519292405	0.04353330589006553	3	4
hsa-miR-16-5p	0.07826524000923864	0.026458393539488218	-0.015005281404251957	3	1
hsa-miR-17-3p	0.11442865346647003	-0.08150550296604848	0.05385844925016127	3	1
hsa-miR-17-5p	0.10944668118606524	-0.05680433892288285	-0.0859256221163162	3	1
hsa-miR-181a-2-3p	0.13395438981778948	-0.130495778748096	-0.06254853567864593	3	3
hsa-miR-181a-3p	0.13817840965881936	-0.1425094624834462	-0.06346571710591092	3	3
hsa-miR-181a-5p	0.10393338854151131	-0.053763121469389996	0.05155364979064818	3	3
hsa-miR-181b-2-3p	0.13936078367620014	-0.17208414944378458	-0.0020234965448186885	3	3
hsa-miR-181b-3p	0.15490591688571173	-0.1754524666820018	-0.021421130861729556	3	3
hsa-miR-181b-5p	0.16555815642759822	-0.15255234322478808	0.09952746062140161	3	4
hsa-miR-181c-3p	0.1489443867566663	-0.15923944661826062	-0.07033561965090515	3	3
hsa-miR-181c-5p	0.15907686153174144	-0.16837484717253098	-0.024627627575401743	3	3
hsa-miR-181d-3p	0.05354966159649626	-0.027369615845910786	0.002307839814915894	3	3
hsa-miR-182-3p	0.05444450431641449	-0.012597217341441843	0.03547856306634003	3	1
hsa-miR-182-5p	0.06307105580719218	0.02209631134548172	0.007169181047620458	3	3
hsa-miR-1825	0.06067157829526451	0.03805549941902965	0.06565831671522468	3	1
hsa-miR-1827	0.12708049870471078	-0.08125593960804398	-0.06525728210756679	3	1
hsa-miR-183-5p	0.10047990861035357	-0.0465604480425476	-0.07039350310219987	3	2
hsa-miR-184	0.17493372718460184	-0.13947945295439118	-0.004213411637130432	3	3
hsa-miR-185-3p	0.1637620502202918	-0.10666594635677742	-0.03816092258175888	3	3
hsa-miR-185-5p	0.09486628642216634	0.07165020040502501	0.08654472407721367	3	5
hsa-miR-186-3p	0.16852658484416122	-0.17245771734824575	0.07651946805086657	3	3
hsa-miR-186-5p	0.2176848557417556	-0.23683395429729862	-0.09608113147596421	3	3
hsa-miR-187-3p	0.12232999292124054	-0.12959947136527394	-0.0044708698120817765	3	4
hsa-miR-187-5p	0.051126778558172534	-0.0034269071153140165	0.02495028875717388	3	4
hsa-miR-188-3p	0.1513081682452168	-0.1740389334514715	0.02526832219020698	3	2
hsa-miR-188-5p	0.15385097934485803	-0.14688351473602948	0.060025630976093355	3	5
hsa-miR-18a-5p	0.11140363204192594	-0.12828789224169423	-0.030846760078749244	3	1
hsa-miR-18b-5p	0.09545130521595474	-0.10559521031260087	-0.050387762697002535	3	1
hsa-miR-1908-3p	0.09765629309945939	0.09187992723814882	0.0997039853208475	3	2
hsa-miR-1908-5p	0.11267903330330846	0.06667063134816498	0.09010306400941345	3	3
hsa-miR-1909-3p	0.059678486543403464	-0.022242489962264467	0.05093617022028133	3	4
hsa-miR-1909-5p	0.06429178958553924	0.02625247024249493	0.05132975919411098	3	3
hsa-miR-190a-3p	0.08862804196369688	-0.0336956240584119	0.04556527342830749	3	3
hsa-miR-190a-5p	0.12820917392874312	-0.16753101318252842	-0.032457283996990605	3	1
hsa-miR-191-3p	0.12784497249665497	-0.14493842091144268	-0.05407313610589911	3	1
hsa-miR-1910-3p	0.04087118694112995	-0.012768737126082936	0.014243060959940459	3	3
hsa-miR-1910-5p	0.07582798998888407	0.019335123673854298	0.07433282990853558	3	5
