B.cells	Basophils	CD4..T.cells	CD8..T.cells	Eosinophils	Erythrocytes	Monocytes	Natural.killer.cells	Neutrophils	Plasma	Thrombocytes
SRR9844383	0.059560536844032	0.190267039139577	0	0	0.203879808540233	0	0.0114215509762197	0.0152662323354241	0	0.469240695842462	0.0503641363220524
SRR9844342	0.0449668147327837	0.200967500271872	0	0.00149026783517493	0.207510110223105	0	0.00430458749293835	0.00985007219951588	0	0.479722761859533	0.0511878853850762
SRR9844354	0.045661457169505	0.207640475356255	0	0	0.205847264129819	0	0.00275167129225849	0.00906759006867123	0	0.477761770629152	0.0512697713543394
SRR10416522	0.037549922633228	0.227934897425177	0	0	0.199395205340573	0	0	0.00330735487242663	0	0.47982200476329	0.0519906149653057
5628-SL-0533	0.113937561899	0.0771256875705012	0	0.00624680916977701	0.184946674574013	0	0.062151557729883	0.0279566318189422	0	0.476667818795753	0.0509672584421314
5628-SL-2294	0.126526959903298	0.083942406297022	0	0	0.174055208320398	0	0.0613942350985804	0.0253625829119163	0	0.477140339670442	0.0515782677983431
SRR10416515	0.0422764895654859	0.199894475446262	0	0.00181618069549925	0.209003096707663	0	0.00264508176383065	0.0108903783247539	0	0.482292816535125	0.0511814809613809
5628-SL-3213	0.105864095007058	0.122236336545742	0	0.00299245121484005	0.173469196883656	0	0.0489244034479074	0.0168356220186004	0	0.478024428950101	0.0516534659320953
5628-SL-1372	0.114645457146857	0.0946471138763014	0	0.00286852066034918	0.178810983953249	0	0.0573993541590906	0.023284922135785	0	0.476949934186169	0.0513937138821989
5628-SL-2649	0.0894649481588673	0.12396991012713	0	0.0087694425783864	0.189275420322992	0	0.042757055976646	0.0185504812641415	0	0.476334352327023	0.0508783892448141
5628-SL-1976	0.114985685842689	0.0493515552387656	0	0.00656944274763274	0.201597545206524	0	0.0706467418021648	0.0386354523039568	0	0.467727717918391	0.0504858589398756
5628-SL-1545	0.115562563770974	0.11099079701631	0	0.00152859157451936	0.166664796221543	0	0.0557475479977557	0.0193660289654798	0	0.478244465962126	0.0518952084912927
5628-SL-0724	0.113622545836687	0.1176147163098	0	0.00059463836984106	0.166255807625204	0	0.0528244899948489	0.0184326454657267	0	0.478634462261443	0.0520206941364486
5628-SL-0932	0.132254153859677	0.0855068340038647	0	0	0.166343759181464	0	0.0651951493563068	0.0223782045921539	0	0.476501281258411	0.0518206177481231
5628-SL-0449	0.0663009520828806	0.152796986728933	0	0.0154336766948027	0.218026567905678	0	0.0349655213672768	0.0117862178565774	0	0.452064644357023	0.0486254330068285
5628-SL-3798	0.0606587123728777	0.159288693793367	0	0.0132585284169696	0.206452788978586	0	0.0226038289688579	0.0115069992664435	0	0.475737909889342	0.0504925383135559
5628-SL-2620	0.125220364608338	0.0809982068063763	0	0.00183830322658161	0.175278970563461	0	0.065420436960434	0.0243487220344487	0	0.475550432850042	0.0513445629503181
5628-SL-2295	0.10552435115218	0.0866177884280584	0	0.00618991136911851	0.191290811855317	0	0.053633244691142	0.027427063654118	0	0.47859366572692	0.0507231631231467
5628-SL-1300	0.0976589423971722	0.118014379242067	0	0.00602277164205789	0.184912665852306	0	0.0459123960158458	0.0192176243628659	0	0.477186360042014	0.0510748604456709
5628-SL-0508	0.140229016274743	0.0918894647989232	0	0	0.151916504990194	0	0.0675864713247049	0.0209510924061094	0	0.475069579147018	0.0523578710583074
SRR10416507	0.0573524847776808	0.174159309544952	0	0.00394573466594001	0.200754817749686	0	0.0169032371655237	0.0153361813485878	0	0.480379432078486	0.0511688026691441
5628-SL-1825	0.113513586123933	0.0960030354284234	0	0.00392151592219415	0.175856373466281	0	0.0575394561495781	0.0236570082637564	0	0.478097746720468	0.0514112779253663
5628-SL-1217	0.131519990580403	0.0868968570998606	0	0	0.161629991606939	0	0.0675900292652939	0.0243106842330998	0	0.476158335704222	0.0518941115101825
5628-SL-3243	0.151907739167216	0.0912806714960265	0	0	0.141471076230397	0	0.0696841947617707	0.0181924135792262	0	0.474798413817896	0.0526654909474685
5628-SL-2425	0.138364188594445	0.0931488223048916	0	0	0.149667139288825	0	0.0680200527519819	0.0218343535732016	0	0.476648805054258	0.0523166384323973
5628-SL-2198	0.117342208792717	0.0960886402216475	0	0.00186716016936805	0.173477058069534	0	0.0580936783746506	0.0232303794883889	0	0.478352531584831	0.0515483432988629
SRR23099074	0.0329673278646751	0.247911360121527	0	0.012749552547635	0.196297408325174	0	0	0	0	0.456740049839084	0.053334301301905
SRR10416501	0.0589855061834305	0.168429615894297	0	0.00587734304852443	0.199899143459575	0	0.0189325846608185	0.0160051621545131	0	0.480719304118789	0.0511513404800529
5628-SL-1414	0.139000687877196	0.0928447552289839	0	0	0.15364647624508	0	0.0663781152945075	0.0206288833699913	0	0.475346914495644	0.0521541674885983
5628-SL-1308	0.0926374817034444	0.132380661171162	0	0.00593759915554309	0.181738994596026	0	0.0415061598815198	0.0166360536674625	0	0.477807100560047	0.0513559492647946
5628-SL-0302	0.141143203055084	0.096360333146008	0	0	0.150033964654982	0	0.0672907714062321	0.0177407009056778	0	0.475009997122886	0.0524210297091292
5628-SL-1981	0.0401586315932521	0.201386777774198	0	0.0155071840142032	0.208991716252354	0	0.00674966758461189	0.0027323936662081	0	0.474058008347059	0.0504156207681137
5628-SL-1881	0.107125314327444	0.10646442620372	0	0.0052475695502818	0.178770040665564	0	0.0532542926210085	0.0207714619392368	0	0.477131121386447	0.0512357733062979
5628-SL-0334	0.136805860853043	0.0901790025519436	0	0	0.15485383114127	0	0.0687016024881365	0.021367633860293	0	0.475925466443022	0.0521666026622917
5628-SL-4337	0.114726741247155	0.099155741446547	0	0.00292635824618402	0.173571806412715	0	0.0575145246426673	0.022860396614932	0	0.477712021087098	0.0515324103027008
5628-SL-0172	0.0311475857538502	0.222248674315486	0	0.0144424146612695	0.209218164244641	0	0	0	0	0.472520853166855	0.0504223078578982
5628-SL-2555	0.104270107958068	0.0573113236560782	0	0.0101099679252424	0.216519174100939	0	0.0589239554028607	0.0293997960746031	0	0.473721404585406	0.049744270296802
5628-SL-1798	0.128946077768889	0.0883665605052712	0	0	0.162201154959749	0	0.0660745624284746	0.0240994909713963	0	0.47830092635975	0.0520112270064694
5628-SL-0510	0.120943652842279	0.0995621763559518	0	0.00043330338515445	0.167652672777964	0	0.0590951802684032	0.0219420645726723	0	0.478564936024327	0.0518060137732478
5628-SL-2190	0.0246386272307314	0.22820587332483	0	0.0132378982068877	0.21196705173216	0	0	0	0	0.471740572059792	0.0502099774455992
5628-SL-0499	0.107078665465546	0.121430082318731	0	0.00147790106065608	0.175848107239005	0	0.0482706172777474	0.0171743405412703	0	0.477031827511697	0.0516884585853474
5628-SL-1813	0.104859013551356	0.0702696330412115	0	0.00946305227023901	0.199468223422016	0	0.0590984148658189	0.0330384195578948	0	0.473546228021481	0.0502570152699827
5628-SL-0051	0.103396977792768	0.0752321394004356	0	0.00699349878827558	0.198929949447589	0	0.0582718060179713	0.0324963994812433	0	0.473972795059347	0.0507064340123712
5628-SL-2112	0.128560597572978	0.100696412170781	0	0	0.163053697715333	0	0.0615801653288184	0.0180206875001802	0	0.476052767214412	0.0520356724974975
SRR10416497	0.0511441359515654	0.183439509801056	0	0.00516906174451902	0.202998543041693	0	0.0114817302496224	0.0128928334938508	0	0.481599931084477	0.0512742546332162
5628-SL-0341	0.110451810955467	0.113112766987419	0	0.00236021642847048	0.172165868741712	0	0.0523367731600533	0.0197072445987733	0	0.47823708898577	0.0516282301423351
5628-SL-0693	0.106308835247477	0.100725570301655	0	0.00657595292956889	0.179131056348657	0	0.0549337809049192	0.023783191850927	0	0.477322437364463	0.0512191750523328
5628-SL-3473	0.048286391287904	0.189655959032244	0	0.0144879833256866	0.203252409240291	0	0.0128003073830056	0.00638943557222283	0	0.474572027357325	0.0505554868013214
5628-SL-1421	0.107032662085276	0.0734138809343717	0	0.0105042682440491	0.190090334767985	0	0.0629000925925725	0.0323738212489505	0	0.473231918162641	0.0504530219641554
5628-SL-0608	0.136235250207427	0.0844826229611809	0	0	0.163157589878763	0	0.0672940881324011	0.0215134362246041	0	0.475372705417297	0.0519443071783265
5628-SL-1843	0.0985545243862617	0.114184531402526	0	0.00766505243902004	0.180542010590152	0	0.0494101767342003	0.0217634823350516	0	0.476749408686059	0.0511308134267296
SRR9844350	0.0523918165271448	0.194756210860769	0	0	0.205138322636624	0	0.00908284417062373	0.0122490161480251	0	0.47571880498934	0.0506629846674739
5628-SL-3812	0.126635003578911	0.0798321333908058	0	0	0.17750940716375	0	0.0625717260373833	0.0235964615237306	0	0.478245354890562	0.051609913414857
5628-SL-0503	0.121442140768093	0.0962398297327905	0	0.00230498480250986	0.165538342534143	0	0.0624776174287129	0.023776520922833	0	0.476598941190089	0.0516216226208289
5628-SL-0829	0.124738062336022	0.0800415542389172	0	0.00262822743593907	0.174815588230174	0	0.066308007584064	0.0235018272876444	0	0.47630108188259	0.0516656510046486
SRR9844353	0.052314894580478	0.18931274758132	0	0.000873721553617994	0.205004166823768	0	0.0104558007544604	0.0124021826130106	0	0.478926790915224	0.0507096951781202
5628-SL-0927	0.0630779722048219	0.158198699317928	0	0.0142236730613627	0.202675844218907	0	0.0264410131438093	0.0122105727810259	0	0.47284413719186	0.0503280880802846
SRR10416535	0.0970380005133884	0.0893749106141679	0	0.0085425360420328	0.189525549438399	0	0.0515343630555243	0.0340516143682193	0	0.483880862632235	0.0460521633360333
5628-SL-1166	0.0971726240388488	0.117479859985683	0	0.0054383882321221	0.191242638516062	0	0.0440046790084066	0.0159831630287889	0	0.477684474881415	0.0509941723086743
5628-SL-2138	0.083555963789239	0.121152464990219	0	0.0100618924532796	0.199072484369551	0	0.0388258293511847	0.0204294575106102	0	0.47651533012895	0.0503865774069662
5628-SL-0646	0.136158042954108	0.0859419582628538	0	0	0.160356461872798	0	0.0651660004032628	0.0222535515673815	0	0.477975798923189	0.0521481860164061
5628-SL-0246	0.105913064491073	0.067848468556778	0	0.00867335909714264	0.201378537124704	0	0.0590536909843169	0.0329423730520264	0	0.474033655773781	0.0501568509201776
SRR10416525	0.0840025427568653	0.0870873553501828	0	0.0100633834126677	0.209003794271294	0	0.0417068064305783	0.0368154790394249	0	0.487296700916798	0.0440239378221893
5628-SL-2682	0.0915364999094291	0.116848219484773	0	0.00910882618135687	0.188572516294242	0	0.0456734174984195	0.0216937576501085	0	0.475770162989803	0.050796599991868
5628-SL-3230	0.112214657525185	0.095245345946194	0	0.00445984638781777	0.177970049028191	0	0.057542771402473	0.023693234194034	0	0.477501335969308	0.0513727595467966
5628-SL-0050	0.130571705483246	0.0854579093414081	0	0	0.164548480550205	0	0.0677597106009108	0.0244270932222501	0	0.475485051420889	0.0517500493810908
SRR23099076	0.0577330386354832	0.214584237540022	0	0.00876270935807563	0.183789877518074	0	0.0124057997811053	0	0	0.464136077375819	0.058588259791422
5628-SL-0313	0.0647751926027229	0.155210493918914	0	0.0125876433596624	0.200049367757153	0	0.0261524539399765	0.0141010798667553	0	0.476447504015342	0.0506762645394748
5628-SL-1431	0.12581851860002	0.0961417274655063	0	0	0.166415950352554	0	0.0609081588147382	0.0214176736382603	0	0.477446375034114	0.0518515960948078
5628-SL-1673	0.114228398416693	0.0846450815761782	0	0.00672483515921121	0.178115261257293	0	0.0623625760512604	0.0277253443279554	0	0.475238086297076	0.0509604169143326
5628-SL-0666	0.137884163776521	0.0895265067792857	0	0	0.15534199747938	0	0.067348531945477	0.0206460432167451	0	0.47700913861542	0.0522436181871708
SRR9844346	0.0564813042245938	0.184543704923042	0	0	0.204575180718485	0	0.0128528671506909	0.0141537468300364	0	0.477283520800055	0.0501096753530971
SRR9844379	0.0450983823099765	0.211264547748315	0	0	0.203044353668565	0	0.00131286436421013	0.00813755542275497	0	0.479675478831648	0.0514668176545302
5628-SL-1954	0.0715260515903975	0.14357994706562	0	0.0127244353281744	0.198575333649761	0	0.0324261027378591	0.016853655956124	0	0.473794355134432	0.0505201185376318
SRR8518777	0	0.259528508060032	0	0.344440075872882	0	0	0.287992100238433	0	0.0158442364848846	0.0210575736422912	0.0711375057014782
5628-SL-4048	0.136702221544106	0.0766503968715709	0	0	0.169782366331511	0	0.0697584870659333	0.02157622628585	0	0.473938655462464	0.0515916464385651
5628-SL-0509	0.129732032908316	0.0909371531173539	0	9.09031959556121e-05	0.160209739011529	0	0.0664697088381545	0.0230798552565663	0	0.477529822728963	0.0519507849431612
5628-SL-0295	0.0946446407781201	0.0990586755269615	0	0.0109354005347662	0.191795158518691	0	0.0507594962037474	0.0256064505049564	0	0.476650410869766	0.0505497670629913
SRR9844365	0.0552059443991796	0.188277036013533	0	0	0.204823530513399	0	0.00880786692239154	0.016042285506975	0	0.476337208219536	0.0505061284249868
SRR10416520	0.0575057045165809	0.181352957762354	0	0.00924376612346261	0.199032939821764	0	0.0146642799544736	0.00857951436280162	0	0.478561663220136	0.0510591742384277
5628-SL-0742	0.10476967824252	0.114511962932795	0	0.00495778523122993	0.177953122794492	0	0.0507450693445373	0.0192060646420831	0	0.476582197790478	0.0512741190218646
5628-SL-0507	0.035828350562384	0.219117862882629	0	0.0110855033972214	0.20569847671767	0	0	0.00105231331482427	0	0.476218524562323	0.0509989685629488
5628-SL-3342	0.128446479480348	0.0766580726591061	0	0.000171094665346555	0.169788051713947	0	0.0667735366091542	0.0266846977935159	0	0.479707951197009	0.0517701158815731
5628-SL-1394	0.0634463321403841	0.157829913684762	0	0.013473768651983	0.200324087454889	0	0.0262112736185849	0.0131894398447001	0	0.474934670849809	0.0505905137548873
5628-SL-1071	0.123977269072381	0.0962607553609075	0	0.000410950984245848	0.16700621775505	0	0.0617852592163996	0.0213804811022762	0	0.47738230269221	0.0517967638165303
5628-SL-1731	0.116465424123854	0.0778120245946786	0	0.0053427632369732	0.181277742965037	0	0.0629852752596023	0.0280353710798503	0	0.47698938166929	0.0510920170707144
5628-SL-0845	0.133177127340437	0.0916276895959984	0	0	0.159092711905808	0	0.0664958775451327	0.0213135569267763	0	0.476247862049243	0.0520451746366047
5628-SL-0823	0.124465515442104	0.0947157290713387	0	0	0.17095569066164	0	0.0602690391303389	0.0206068101455191	0	0.477293785332981	0.0516934302160782
5628-SL-1587	0.13390134497262	0.0857200453924239	0	0	0.164334446601309	0	0.0643942877226932	0.0227486107056482	0	0.476970740663637	0.0519305239416689
SRR10416537	0.0998090275483806	0.112208841729809	0	0.00778902088594056	0.176339369230045	0	0.0507140687818665	0.0233298931852696	0	0.478725311710339	0.0510844669283504
SRR12683394	0.0964895341438231	0.192409676324647	0.0311880097383076	0	0.304914529142239	0	0	0.0566265803072887	0	0.250218175376794	0.0681534949669007
5628-SL-1231	0.121451576278258	0.0818735204062367	0	0.00361515007602674	0.173203789218322	0	0.0648719429466499	0.0265736369298621	0	0.476929602657795	0.05148078148685
5628-SL-0804	0.10777054267654	0.11494502038599	0	0.00278569192149138	0.175072011538216	0	0.0505803277840285	0.0189535892291956	0	0.47818011756101	0.0517126989035289
5628-SL-0976	0.136138268737675	0.0856191868172996	0	0	0.159315941256489	0	0.0672700728225697	0.0227126992319628	0	0.476898640730967	0.0520451904030371
5628-SL-1945	0.118969698509116	0.0787363147193406	0	0.00390568625443833	0.180744504915791	0	0.0631008680846766	0.0274893569954027	0	0.475914511045006	0.0511390594762285
5628-SL-1930	0.108259542521119	0.0966671354749725	0	0.00488361155637814	0.180896983736131	0	0.0548450360297519	0.0246744494535682	0	0.478293449150294	0.0514797920777847
5628-SL-1857	0.123617089589853	0.0948212248959282	0	0	0.171300067482522	0	0.0598000811014898	0.0204883030870341	0	0.478156280293429	0.0518169535497433
5628-SL-3290	0.138592814579373	0.090790630227162	0	0	0.150120471069287	0	0.0701806629438492	0.0220984973452949	0	0.475933284828701	0.0522836390063338
5628-SL-2553	0.0986524116958517	0.0853910680972438	0	0.00613265840064371	0.198130183346921	0	0.0521719931335133	0.0319855373117125	0	0.476851069439577	0.0506850785745371
5628-SL-2110	0.126031515557553	0.0982515612070087	0	0	0.165470214249993	0	0.0607023530882864	0.021210569156118	0	0.476343457374404	0.0519903293666365
5628-SL-2687	0.136841505128289	0.0917772231495203	0	0	0.15617575514011	0	0.0660330693795836	0.0207169271357821	0	0.476318289717356	0.0521372303493588
SRR10416499	0.0572416376926144	0.176595713600769	0	0.00322366079677574	0.199028767643719	0	0.0158712417299129	0.0149291637232245	0	0.481684288012978	0.0514255268000065
SRR9844339	0.0483578476514214	0.194614434744963	0	0.00464413389481002	0.205383578474026	0	0.00872075818095027	0.0100885121910039	0	0.477629241343423	0.0505614935194031
5628-SL-0627	0.100993057205857	0.121897177915146	0	0.00548085771771309	0.175152011495113	0	0.0486265728160255	0.0191837743716142	0	0.477189081151265	0.0514774673272668
5628-SL-2855	0.0575227927436405	0.16967943125209	0	0.0141314473163489	0.202507033552828	0	0.0208362205414536	0.0103821299755859	0	0.474453090293813	0.0504878543242406
5628-SL-1936	0.103014491095438	0.0732079913693063	0	0.010476248106659	0.197240501329736	0	0.0583961148894604	0.030945326220739	0	0.476257128456686	0.0504621985319755
5628-SL-0939	0.133390090443421	0.0896293242523752	0	0	0.158182864013501	0	0.0677093172611241	0.0222870575758424	0	0.476707320358892	0.0520940260948443
5628-SL-0613	0.0787155912521533	0.161286882237304	0	0.00732564384521349	0.183701714037839	0	0.030413364240933	0.0107509025963602	0	0.47645102548654	0.0513548763036579
5628-SL-2140	0.046705913945794	0.188457687773426	0	0.0154262364451202	0.21077639514119	0	0.0132336213233854	0.00755916192129741	0	0.468041481568825	0.0497995018809623
SRR23099083	0.029549003826532	0.291042302644749	0	0	0.176912348124177	0	0	0	0	0.448586974563886	0.0539093708406564
5628-SL-2545	0.0216471473929107	0.239258091815971	0	0.0171158928631602	0.208823149646643	0	0	0	0	0.463475669741515	0.0496800485397993
5628-SL-0906	0.134662568268601	0.0935382719818928	0	0	0.156548849827309	0	0.0653441156133113	0.0204507577573819	0	0.477212128672216	0.052243307879289
5628-SL-3562	0.129652269134334	0.0848116377119771	0	0.00032645574656218	0.165562651556724	0	0.0674979838335932	0.0240709014750487	0	0.476320246886987	0.0517578536547742
SRR9844359	0.037619282697509	0.192087653173609	0	0.00654158579461501	0.212464374214061	0	0.00431169735524451	0.0130286616223242	0	0.483017274891416	0.0509294702512211
5628-SL-1313	0.135274639442633	0.0887737421196496	0	0	0.155741308586646	0	0.067787373949991	0.0234323344535752	0	0.476830749696498	0.0521598517510075
5628-SL-1723	0.110882232667495	0.0909836966289505	0	0.00611297012628996	0.179250131991761	0	0.0582780571294269	0.025351127066471	0	0.477986794004312	0.0511549903852929
5628-SL-4383	0.122671034706246	0.0814072618825901	0	0.00312229796800697	0.175321598300353	0	0.0649658024735786	0.0251641122302126	0	0.476061653765376	0.0512862386736367
5628-SL-3077	0.134762460935563	0.0871447531029158	0	0	0.161064479047686	0	0.0666147448153929	0.0224381011586576	0	0.476062985585415	0.0519124753543696
5628-SL-1371	0.0925713159709705	0.112258397359704	0	0.00700139431871389	0.199569924911218	0	0.0426120978010517	0.017583403678144	0	0.477579944038236	0.0508235219219625
5628-SL-1964	0.136819789471806	0.0869662593594294	0	0	0.161071873553379	0	0.0688150959135415	0.0212798073495642	0	0.473270876625239	0.0517762977270403
5628-SL-2868	0.105311339177724	0.0662849128979417	0	0.0102220687448102	0.203537937431207	0	0.0600426178997497	0.0322203684182538	0	0.472724081664025	0.0496566737662889
5628-SL-2498	0.114373582425701	0.100738738609816	0	0.002774737711758	0.174214125464366	0	0.056863475109089	0.0227973450275478	0	0.476854524475119	0.0513834711766034
5628-SL-0594	0.100994975624909	0.123447283684496	0	0.00390890611274459	0.178911766166445	0	0.046352670800459	0.0180592011302094	0	0.476870999800464	0.0514541966802739
SRR9844374	0.0542867033977631	0.193263971490689	0	0	0.204846792861659	0	0.00652243263301413	0.0156550867029241	0	0.474548296354197	0.0508767165597536
5628-SL-3950	0.0756358848733711	0.135813871521416	0	0.0119985244001405	0.19689059330032	0	0.0348608428931417	0.0177912778901097	0	0.476374193732028	0.0506348113894734
5628-SL-0901	0.109308858633892	0.0638288933100127	0	0.00915349936554269	0.198219371529195	0	0.0638439053726846	0.0340846554540408	0	0.471649033662984	0.0499117826716484
5628-SL-1950	0.111579444291977	0.0635679889902501	0	0.0101105708266728	0.195617338530548	0	0.0670810264849431	0.0348343597653818	0	0.467399954145624	0.0498093169646032
5628-SL-0021	0.096722199642203	0.112473109329085	0	0.00748986136238314	0.182230860569932	0	0.049123530670727	0.0233351862961271	0	0.47751359311362	0.0511116590159229
5628-SL-1759	0.126585117104578	0.0877507957116128	0	0.000823600645438482	0.167440070954426	0	0.0652142985936704	0.0238918284011794	0	0.476536370589626	0.0517579179994681
5628-SL-4094	0.124785851505674	0.0754168343616255	0	0.000330214414605101	0.183346961731878	0	0.0623713391473303	0.0234986510552381	0	0.478900935319566	0.0513492124640826
5628-SL-0986	0.12914716644906	0.0901064062400953	0	0	0.163391862525121	0	0.0654181024483505	0.0232214055724168	0	0.476831018592069	0.0518840381728869
5628-SL-1761	0.129164859736871	0.089408755812974	0	0.000593708429302744	0.161061271452466	0	0.066642951414184	0.0233933192540252	0	0.477817033722982	0.0519181001771947
5628-SL-2679	0.136988156676894	0.0775782263950341	0	0	0.17504501008139	0	0.0660436546076529	0.0200170309823791	0	0.472878562452736	0.0514493588039143
