Sample	cell_type	Bases
SRR23590929	Monocytes	1220667672
SRR23590930	Monocytes	1516949532
SRR23590931	Monocytes	1238464752
SRR23590932	Monocytes	1087932552
SRR23590933	Erythrocytes	2077495997
SRR23590934	Erythrocytes	2039337189
SRR23590935	Erythrocytes	1943423857
SRR23590936	Erythrocytes	1843506764
SRR23590937	Erythrocytes	1964497012
SRR23590938	Erythrocytes	1860758912
SRR23590939	Erythrocytes	2040983253
SRR23590940	Erythrocytes	1940608068
SRR23590941	Eosinophils	2039625591
SRR23590942	Eosinophils	1350437963
SRR23590943	Eosinophils	1353465758
SRR23590944	Eosinophils	1316178688
SRR23590945	Eosinophils	1444618114
SRR23590946	Eosinophils	103489458
SRR23590947	Eosinophils	1109435137
SRR23590948	Eosinophils	1000258082
SRR23590949	Eosinophils	1825409006
SRR23590950	Eosinophils	1565394432
SRR23590951	Eosinophils	1674909684
SRR23590952	Eosinophils	2263858968
SRR23590953	Eosinophils	1657169388
SRR23590954	Eosinophils	1766574600
SRR23590955	Eosinophils	1628626944
SRR23590956	Eosinophils	1816645740
SRR23590957	Eosinophils	1322558244
SRR23590958	Eosinophils	2993127648
SRR23590959	Eosinophils	1074401160
SRR23590960	CD8+ T cells	841410918
SRR23590961	CD8+ T cells	834689561
SRR23590962	CD8+ T cells	1598356970
SRR23590963	CD8+ T cells	1762412552
SRR23590964	CD8+ T cells	1382212238
SRR23590965	CD4+ T cells	1452905731
SRR23590966	CD4+ T cells	1298168118
SRR23590967	CD4+ T cells	1292899918
SRR23590968	CD4+ T cells	876536109
SRR23590969	CD4+ T cells	1064622493
SRR23590970	CD4+ T cells	1033695958
SRR23590971	CD4+ T cells	934698741
SRR23590972	CD4+ T cells	1094556945
SRR23590973	CD4+ T cells	1139076004
SRR23590974	CD4+ T cells	1199293802
SRR23590975	CD4+ T cells	1320235770
SRR23590976	CD4+ T cells	1190232853
SRR23590977	CD4+ T cells	1097172301
SRR23590978	CD4+ T cells	1319670681
SRR23590979	CD4+ T cells	1114583560
SRR23590980	CD4+ T cells	1272859224
SRR23590981	CD4+ T cells	1314366480
SRR23590982	CD4+ T cells	1818902736
SRR23590983	CD4+ T cells	1260733656
SRR23590984	CD4+ T cells	1349140380
SRR23590985	CD4+ T cells	2029886628
SRR23590986	CD4+ T cells	1447423656
SRR23590987	CD4+ T cells	1025302068
SRR23590988	CD4+ T cells	1640545956
SRR23590989	B cells	1610397221
SRR23590990	B cells	1624396078
SRR23590991	B cells	2100210743
SRR23590992	B cells	1336188689
SRR23590993	B cells	1585715917
SRR23590994	B cells	2028111663
SRR23590995	B cells	1277384927
SRR23590996	B cells	1388370920
SRR23590997	B cells	1604681153
SRR23590998	B cells	1536752400
SRR23590999	B cells	1355150446
SRR23591000	B cells	1252749560
SRR23591001	B cells	910964364
SRR23591002	B cells	1042848568
SRR23591003	B cells	908145309
SRR23591004	B cells	688097707
SRR23591005	B cells	1502561782
SRR23591006	B cells	1470542131
SRR23591007	B cells	1012952172
SRR23591008	B cells	1578473349
SRR23591009	B cells	1681702308
SRR23591010	B cells	1076893849
SRR23591011	B cells	995201817
SRR23591012	B cells	1775833753
SRR23591013	Thrombocytes	701230435
SRR23591014	Thrombocytes	1543820876
SRR23591015	Thrombocytes	1338223336
SRR23591016	Thrombocytes	758840474
SRR23591017	Thrombocytes	512983804
SRR23591018	Thrombocytes	1006073053
SRR23591019	Thrombocytes	901959860
SRR23591020	Thrombocytes	1376697313
SRR23591021	Thrombocytes	725611054
SRR23591022	Thrombocytes	1193867769
SRR23591023	Thrombocytes	738213341
SRR23591024	Thrombocytes	1751113044
SRR23591025	Thrombocytes	530356510
SRR23591026	Thrombocytes	434124459
SRR23591027	Thrombocytes	259296118
SRR23591028	Thrombocytes	491160037
SRR23591029	Thrombocytes	1240933527
SRR23591030	Thrombocytes	571472610
SRR23591031	Thrombocytes	374352541
SRR23591032	Thrombocytes	483221953
SRR23591033	Thrombocytes	553725308
SRR23591034	Thrombocytes	410017900
SRR23591035	Thrombocytes	300453753
SRR23591036	Thrombocytes	432903117
SRR23591037	Neutrophils	2833009979
SRR23591038	Neutrophils	2548701555
SRR23591039	Neutrophils	3389872635
SRR23591040	Neutrophils	3449081949
SRR23591041	Neutrophils	3286775736
SRR23591042	Neutrophils	3141558229
SRR23591043	Neutrophils	3959274530
SRR23591044	Neutrophils	2611334915
SRR23591045	Neutrophils	2635943870
SRR23591046	Neutrophils	2087417111
SRR23591047	Neutrophils	1825193805
SRR23591048	Neutrophils	3029105376
SRR23591049	Neutrophils	2479539177
SRR23591050	Neutrophils	2917964390
SRR23591051	Neutrophils	2948786413
SRR23591052	Neutrophils	3754839686
SRR23591053	Neutrophils	3044543119
SRR23591054	Neutrophils	2676488207
SRR23591055	Neutrophils	3567331100
SRR23591056	Neutrophils	3620970677
SRR23591057	Neutrophils	3064796650
SRR23591058	Neutrophils	846736044
SRR23591059	Neutrophils	1241334612
SRR23591060	Neutrophils	1150407552
SRR23591061	Natural killer cells	1787765303
SRR23591062	Natural killer cells	947427834
SRR23591063	Natural killer cells	2070604595
SRR23591064	Natural killer cells	2065452338
SRR23591065	Natural killer cells	1408605068
SRR23591066	Natural killer cells	2582199000
SRR23591067	Natural killer cells	2260380850
SRR23591068	Natural killer cells	2009039146
SRR23591069	Natural killer cells	3260264407
SRR23591070	Natural killer cells	1354327485
SRR23591071	Natural killer cells	990660373
SRR23591072	Natural killer cells	1095575085
SRR23591073	Natural killer cells	758459701
SRR23591074	Natural killer cells	1021496383
SRR23591075	Natural killer cells	1497669527
SRR23591076	Natural killer cells	1259916939
SRR23591077	Natural killer cells	2104108501
SRR23591078	Natural killer cells	1958276773
SRR23591079	Natural killer cells	1855354605
SRR23591080	Natural killer cells	1977395298
SRR23591081	Natural killer cells	1446932572
SRR23591082	Natural killer cells	1590904100
SRR23591083	Natural killer cells	2003637324
SRR23591084	Natural killer cells	1547802130
SRR23591085	Erythrocytes	1564096914
SRR23591086	Erythrocytes	2139342251
SRR23591087	Erythrocytes	1936270465
SRR23591088	Erythrocytes	2140124458
SRR23591089	Erythrocytes	2279172704
SRR23591090	Erythrocytes	2081734271
SRR23591091	Erythrocytes	2549858642
SRR23591092	Erythrocytes	1749593005
SRR23591093	Erythrocytes	1903925279
SRR23591094	Erythrocytes	1754268639
SRR23591095	Erythrocytes	1971002671
SRR23591096	Erythrocytes	1960088196
SRR23591097	Erythrocytes	2156445725
SRR23591098	Erythrocytes	2207071636
SRR23591099	Erythrocytes	1926293758
SRR23591100	Erythrocytes	1509652907
SRR23591101	Erythrocytes	2024055078
SRR23591102	Erythrocytes	2073154205
SRR23591103	Erythrocytes	2113188975
SRR23591104	Erythrocytes	1630284179
SRR23591105	Erythrocytes	1949881591
SRR23591106	Erythrocytes	2711424041
SRR23591107	Erythrocytes	1803602421
SRR23591108	Erythrocytes	1776912953
SRR23591109	CD8+ T cells	1180398004
SRR23591110	CD8+ T cells	1164805694
SRR23591111	CD8+ T cells	1062760021
SRR23591112	CD8+ T cells	4235035690
SRR23591113	CD8+ T cells	717065139
SRR23591114	CD8+ T cells	1098369006
SRR23591115	CD8+ T cells	1667180039
