MiRBase ID	Family
hsa-let-7e	LET-7
hsa-let-7c	LET-7
hsa-let-7a-2	LET-7
hsa-let-7a-1	LET-7
hsa-let-7a-3	LET-7
hsa-let-7f-2	LET-7
hsa-let-7f-1	LET-7
hsa-let-7b	LET-7
hsa-mir-98	LET-7
hsa-let-7d	LET-7
hsa-let-7i	LET-7
hsa-let-7g	LET-7
hsa-mir-1-2	MIR-1
hsa-mir-206	MIR-1
hsa-mir-1-1	MIR-1
hsa-mir-7-2	MIR-7
hsa-mir-7-1	MIR-7
hsa-mir-7-3	MIR-7
hsa-mir-200b	MIR-8
hsa-mir-200c	MIR-8
hsa-mir-200a	MIR-8
hsa-mir-141	MIR-8
hsa-mir-429	MIR-8
hsa-mir-9-3	MIR-9
hsa-mir-9-2	MIR-9
hsa-mir-9-1	MIR-9
hsa-mir-10b	MIR-10
hsa-mir-10a	MIR-10
hsa-mir-99b	MIR-10
hsa-mir-99a	MIR-10
hsa-mir-100	MIR-10
hsa-mir-125a	MIR-10
hsa-mir-125b-2	MIR-10
hsa-mir-125b-1	MIR-10
hsa-mir-15a	MIR-15
hsa-mir-15b	MIR-15
hsa-mir-424	MIR-15
hsa-mir-497	MIR-15
hsa-mir-16-1	MIR-15
hsa-mir-16-2	MIR-15
hsa-mir-503	MIR-15
hsa-mir-195	MIR-15
hsa-mir-17	MIR-17
hsa-mir-106a	MIR-17
hsa-mir-106b	MIR-17
hsa-mir-18a	MIR-17
hsa-mir-18b	MIR-17
hsa-mir-20a	MIR-17
hsa-mir-20b	MIR-17
hsa-mir-93	MIR-17
hsa-mir-19a	MIR-19
hsa-mir-19b-1	MIR-19
hsa-mir-19b-2	MIR-19
hsa-mir-21	MIR-21
hsa-mir-22	MIR-22
hsa-mir-23b	MIR-23
hsa-mir-23a	MIR-23
hsa-mir-24-1	MIR-24
hsa-mir-24-2	MIR-24
hsa-mir-26a-1	MIR-26
hsa-mir-26b	MIR-26
hsa-mir-26a-2	MIR-26
hsa-mir-27b	MIR-27
hsa-mir-27a	MIR-27
hsa-mir-28	MIR-28
hsa-mir-29b-1	MIR-29
hsa-mir-29b-2	MIR-29
hsa-mir-29a	MIR-29
