miRNA	Sex	Disease_Condition	Age	Residual
hsa-let-7a-2-3p	5.998107769751437e-05	0.021566845766126372	3.3220414099448185e-06	0.9783698511147662
hsa-let-7a-3p	5.288855058369573e-06	0.47100028472259575	0.0010159739001151728	0.5279784525222307
hsa-let-7a-5p	0.0003035965774142481	0.8044132667274371	4.581193332107964e-05	0.19523732476182765
hsa-let-7b-3p	6.437476404092798e-06	0.6732293637289266	0.0018570059043248573	0.3249071928903443
hsa-let-7b-5p	0.0018116847527578411	0.8922661826372245	0.0002124116309692249	0.10570972097904847
hsa-let-7c-3p	2.2166444887547684e-05	0.04673941563118128	0.00016940564881098665	0.9530690122751202
hsa-let-7c-5p	0.0001809809649920008	0.7624887841657274	1.425462580358429e-05	0.23731598024347714
hsa-let-7d-3p	0.00024171478225606794	0.25967417865834297	0.0007030946537811333	0.7393810119056199
hsa-let-7d-5p	0.0004833665243939078	0.714354658117546	3.855844146799214e-05	0.28512341691659204
hsa-let-7e-3p	0.0005909071119572587	0.33372290091351475	0.0003972105734941109	0.6652889814010339
hsa-let-7e-5p	0.0006695074696016095	0.7622301699399391	1.7595186708813043e-05	0.23708272740375053
hsa-let-7f-1-3p	9.921225774610044e-06	0.5479077947148627	3.3269325721135455e-08	0.45208225079003694
hsa-let-7f-2-3p	8.422771090360307e-08	0.6780974832316781	0.0014473927824555774	0.3204550397581555
hsa-let-7f-5p	4.7924144469887954e-05	0.450455914644742	9.073613610836429e-05	0.5494054250746797
hsa-let-7g-3p	1.9539567884863717e-05	0.6232828553460872	0.0014847810275850836	0.37521282405844303
hsa-let-7g-5p	3.964245410130615e-06	0.7196039607858271	1.2388131690770825e-06	0.28039083615559357
hsa-let-7i-3p	0.00010444800596507564	0.49167743916625795	8.646442734832179e-05	0.5081316484004286
hsa-let-7i-5p	3.4484035668537497e-08	0.7600666937342491	7.360932613981855e-06	0.23992591084910123
hsa-miR-1-3p	3.756316694433361e-05	0.5746652374145627	1.2619502818788938e-06	0.42529593746821115
hsa-miR-1-5p	0.00031616180632405133	0.08488054941536333	0.0003230191914038557	0.9144802695869088
hsa-miR-100-3p	0.00011182508608520764	0.1249729469827631	1.5306716353260543e-06	0.8749136972595163
hsa-miR-100-5p	1.036024318772813e-06	0.14337694527807793	0.0007281331331471583	0.8558938855644561
hsa-miR-101-2-5p	9.247643382166552e-05	0.5690451985710714	0.000254338128984634	0.43060798686612234
hsa-miR-101-3p	9.842693717929915e-05	0.5709392497663208	0.002052864104993309	0.4269094591915065
hsa-miR-101-5p	2.2814340087726842e-05	0.6567642458405333	0.0016026703014634142	0.3416102695179155
hsa-miR-10226	7.201198699370358e-05	0.007142399298025909	0.00038281695341461626	0.9924027717615658
hsa-miR-10392-3p	5.230084883741379e-05	0.010984993488705588	1.1567546701122686e-05	0.9889511381157559
hsa-miR-10392-5p	0.001153574738446281	0.09480880326341934	2.876398889224573e-07	0.9040373343582455
hsa-miR-10393-3p	3.0813021839139524e-05	0.19307359900744692	9.385505661146702e-05	0.8068017329141024
hsa-miR-10393-5p	4.458594844559616e-07	0.06140151231760933	0.0011292880304670206	0.9374687537924392
hsa-miR-10394-3p	3.503431890970715e-05	0.03787892265671657	3.44079408025497e-05	0.9620516350835712
hsa-miR-10394-5p	8.466391139123697e-05	0.156411539870579	2.7580173011395407e-06	0.8435010382007286
hsa-miR-10395-3p	1.7867700698784297e-05	0.332053912726646	0.0013795292736775244	0.6665486902989776
hsa-miR-10395-5p	9.3357967404404e-05	0.14594515483795803	0.002420836385402406	0.8515406508092351
hsa-miR-10396a-3p	2.7915813367784823e-05	0.0004789772970364254	0.00024588666217445785	0.9992472202274213
hsa-miR-10396a-5p	5.2350225114115817e-05	0.0023434604888056716	4.134256707475289e-05	0.9975628467190054
hsa-miR-10396b-3p	0.00011008029695470504	0.008452746208934209	4.367068969814127e-06	0.9914328064251412
hsa-miR-10396b-5p	0.00020271781964356785	0.030012554973106856	5.865133254833224e-05	0.9697260758747013
hsa-miR-10397-3p	2.4631720713502433e-05	0.010267445617738137	8.416273471802024e-05	0.9896237599268303
hsa-miR-10397-5p	5.111787180127562e-05	0.23325048099171033	8.04550292992796e-06	0.7666903556335585
hsa-miR-10398-3p	0.0002970823312332654	0.1884628262297095	0.0005104566215340331	0.8107296348175232
hsa-miR-10398-5p	9.096752514318539e-05	0.01020152885252754	2.6664422295012087e-05	0.9896808392000344
hsa-miR-10399-3p	0.001254485805152958	0.5016981451098766	0.003088244917249345	0.49395912416772114
hsa-miR-10399-5p	1.9581074587805e-05	0.7226978756641907	0.00011166270107504573	0.27717088056014644
hsa-miR-103a-1-5p	0.0011159311884146991	0.3176807483349731	0.00023570962732949487	0.6809676108492826
hsa-miR-103a-2-5p	0.0010746081564312262	0.41663572944037747	0.00019478521854914802	0.5820948771846423
hsa-miR-103a-3p	0.009227275154265805	0.39680531059156365	0.0013513092846210556	0.5926161049695495
hsa-miR-103b	4.7210472098450594e-05	0.002485883164647732	0.0003180299606867184	0.9971488764025672
hsa-miR-10400-3p	9.232734025581212e-05	0.0013093599187477478	0.0003041084444352425	0.9982942042965611
hsa-miR-10400-5p	0.0005293792667728558	0.09496024049366314	2.651200409932794e-05	0.9044838682354647
hsa-miR-10401-3p	8.887342546640457e-05	0.090002802060199	0.0011619578956520037	0.9087463666186826
hsa-miR-10401-5p	9.332727698088446e-06	0.008348266028814862	1.8388500648791498e-05	0.9916240127428383
hsa-miR-105-5p	0.00025149148086704454	0.004009918510945267	1.2798651750664292e-05	0.9957257913564371
hsa-miR-10522-5p	2.0335868634555955e-06	0.01870498976639583	4.632860279929837e-05	0.9812466480439413
hsa-miR-10523-5p	0.00011074953854653677	0.010999957679149559	0.000798127064625351	0.9880911657176785
hsa-miR-10524-5p	4.5311471272681795e-05	0.32952794540578617	0.00024934381427333036	0.6701773993086679
hsa-miR-10525-3p	1.1936452124910116e-05	0.010019332705567279	0.00012450166809134638	0.9898442291742163
hsa-miR-10526-3p	1.0926579690211856e-06	0.00040890812587578347	0.00021123847496738778	0.9993787607411878
hsa-miR-10527-5p	0.023275841860023922	0.4282909070120234	0.00034867100773519285	0.5480845801202175
hsa-miR-106a-3p	0.00020659941524647888	0.5380774829856089	0.0020090436672895724	0.4597068739318551
hsa-miR-106a-5p	0.003330377390419196	0.1991100299254176	0.004668731603171116	0.7928908610809919
hsa-miR-106b-3p	0.0020410088123427013	0.7304870229929945	0.0004857748770242758	0.26698619331763845
hsa-miR-106b-5p	0.004458698958666259	0.2904470489719597	0.002363909909866995	0.702730342159507
hsa-miR-107	0.015118786116105629	0.1976636176616813	0.0008720265876256318	0.7863455696345873
hsa-miR-10a-3p	2.773643395852307e-08	0.5406753514295196	3.868342532170341e-06	0.45932075249151405
hsa-miR-10a-5p	9.66098147891548e-05	0.4974763302665189	0.00283353054702428	0.4995935293716676
hsa-miR-10b-3p	9.473371157897313e-05	0.09015493893722251	0.0002879439588038303	0.9094623833923946
hsa-miR-10b-5p	4.5916576462008694e-05	0.47552217682036313	0.0002806730266933224	0.5241512335764815
hsa-miR-11181-3p	1.5572990476076387e-05	0.004773849982594135	0.000376842725472587	0.9948337343014573
hsa-miR-11181-5p	0.0003293271688359373	0.0020435146528859655	0.0005640945879134603	0.9970630635903646
hsa-miR-11399	9.455233074010932e-05	0.0015657709859226586	7.438472757038596e-06	0.9983322382105803
hsa-miR-11400	0.0003067030603017687	0.44796137400338853	0.00013061846398247824	0.5516013044723272
hsa-miR-11401	5.9938096727900444e-05	0.22082203022352817	0.0018864723852509435	0.7772315592944931
hsa-miR-1178-3p	0.00011959391009725908	0.23495404637463269	0.004198284522434528	0.7607280751928355
hsa-miR-1178-5p	0.0003146306473897495	0.0003263287549508012	3.3464036179010224e-05	0.9993255765614804
hsa-miR-1179	6.820241754166428e-05	0.42795118438330615	0.00034986723168968	0.5716307459674624
hsa-miR-1180-3p	9.300638577008609e-05	0.8739794766100102	9.251774700282197e-08	0.12592742448647265
hsa-miR-1180-5p	0.0013673457559070137	0.08160731246088662	0.0002873639696843166	0.916737977813522
hsa-miR-1181	0.0002466313906830973	0.006084163186736974	8.405209150216408e-07	0.9936683649016649
hsa-miR-1182	0.00014736475026537625	0.0005475960483973116	1.8228072178717195e-05	0.9992868111291586
hsa-miR-1183	6.966375514324957e-06	0.0019608998926857347	2.2373487081834367e-05	0.9980097602447181
hsa-miR-1185-1-3p	3.865651776150697e-05	0.41263480981801903	0.0009227923542296972	0.5864037413099897
hsa-miR-1185-2-3p	7.429769466407446e-05	0.37097878090543157	1.7549737576396766e-05	0.6289293716623279
hsa-miR-1185-5p	1.952315995157896e-05	0.30800891658613877	0.0005968537127116415	0.691374706541198
hsa-miR-1193	7.441971309722086e-05	0.011947366262774668	0.00046064455349914644	0.987517569470629
hsa-miR-1197	0.0002634253633271161	0.3560550914221253	0.0001915204562305163	0.6434899627583172
hsa-miR-1199-5p	0.00041392384571250606	0.0010915735973215696	0.0002146469498483513	0.9982798556071176
hsa-miR-1202	0.0006149969898373221	0.0023335242778257117	4.167810492513052e-06	0.9970473109218445
hsa-miR-1203	0.00036002854015948705	0.0003739360116932609	0.00012367156945750782	0.9991423638786897
hsa-miR-1204	2.30544169885675e-09	0.0017863699991455349	6.477784997992288e-05	0.9981488498454328
hsa-miR-1207-3p	0.00010011667496770636	0.002289217775151428	0.00018577182906519786	0.9974248937208157
hsa-miR-1207-5p	0.0003140286515107044	0.0012462451265978396	2.7822964643436983e-06	0.9984369439254271
hsa-miR-1208	8.575666204081098e-05	0.0009592434596236999	3.867328399240992e-05	0.9989163265943432
hsa-miR-12113	8.428057376606531e-05	0.004870834207243924	3.1827033603914334e-05	0.995013058185386
hsa-miR-12114	1.149811722646072e-05	0.08680316354355168	6.460299395275466e-05	0.913120735345269
hsa-miR-12115	3.5269973555684485e-05	0.001846644592610955	3.591676289988742e-05	0.9980821686709335
hsa-miR-12116	2.0706797235758944e-05	0.009980347879275502	2.2711684689312936e-06	0.9899966741550198
hsa-miR-12117	0.00023449863452258468	0.00212342737803934	4.227139821943724e-06	0.9976378468476162
hsa-miR-12118	8.929892107810326e-05	0.0004091567951863525	6.244508013757429e-05	0.9994390992035981
hsa-miR-12119	9.054246345764736e-05	0.000726811183673955	9.774797327612563e-10	0.9991826453753887
hsa-miR-12120	0.00021807751748214584	0.0012614893054373661	4.5546438214747855e-05	0.9984748867388658
hsa-miR-12121	0.00012643477932431532	0.0007050172574004341	8.092767338678823e-05	0.9990876202898885
hsa-miR-12122	3.181698259556602e-05	0.0005704740877781937	1.4621729445017983e-05	0.9993830872001812
